Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
27-07-2010,1005.6,1021,1005.6,1014.15,1014.65,59031,598.56
28-07-2010,1015.1,1019,1008.9,1015,1014.1,13056,132.38
29-07-2010,1019,1019,1001.7,1008.35,1008.4,24144,243.71
30-07-2010,1000,1026,1000,1018.7,1015.95,14347,145.92
02-08-2010,1017,1037,1001.6,1032,1030.95,32930,339.14
03-08-2010,1030.05,1036,1020.05,1027,1027.05,17365,178.78
04-08-2010,1033.9,1036,1019,1021.05,1026.15,20250,208.32
05-08-2010,1029.15,1031.95,1022.25,1022.25,1025.45,10242,105.37
06-08-2010,1034,1050,1011,1016,1013.65,47265,485.75
09-08-2010,1009,1015,1000.4,1011,1010.7,13529,136.41
10-08-2010,1011,1021.25,1005,1006,1005.6,57735,582.52
11-08-2010,1008,1011.95,993.05,995,995.8,125617,1251.58
12-08-2010,990,1000.1,980.5,991,992.05,14677,145.64
13-08-2010,993.4,1034.9,990.15,1008.05,1009.2,134370,1358.45
16-08-2010,1015,1018,1005.35,1008.05,1009.9,45768,462.92
17-08-2010,1014,1028.95,1005,1016,1016,72296,735.18
18-08-2010,1017,1023.5,1002.6,1018,1019.1,38961,397.14
19-08-2010,1020.25,1027.9,1016,1022,1022.45,61442,628.38
20-08-2010,1049,1049,1015,1021,1020.3,33377,341.11
23-08-2010,1031.9,1031.9,1016.1,1022,1021.15,71838,733.03
24-08-2010,1026,1029.75,1018.4,1019.1,1020.45,44442,453.46
25-08-2010,1010,1027.7,1010,1022,1022.1,147581,1507
26-08-2010,1022,1034,995.55,1001.75,1002.35,258809,2646.58
27-08-2010,1004,1015,990.55,1005.7,1004.05,55618,557.88
30-08-2010,1009,1014.75,994,1008,1009.3,20599,207.86
31-08-2010,1005,1012,999.6,1010,1009,13773,138.24
01-09-2010,1010,1017.65,1006.25,1015,1013.15,12896,130.34
02-09-2010,1018,1065,1010.5,1061,1061.1,378393,3982.91
03-09-2010,1065,1159,1065,1133.3,1134.05,633757,7077.23
06-09-2010,1139,1209.9,1139,1195,1195.05,447868,5320.88
07-09-2010,1200,1210,1173.2,1188.95,1188,199113,2370.82
08-09-2010,1185,1193,1161,1184.5,1172.3,141756,1663.94
09-09-2010,1180,1238,1180,1206.25,1205.95,275297,3349.32
13-09-2010,1229.9,1229.9,1170,1185,1185.1,80142,956.26
14-09-2010,1180,1202.75,1167.35,1170,1170.3,41464,488.09
15-09-2010,1170.1,1183,1144,1166.9,1168.1,80207,934.14
16-09-2010,1170,1170,1145.9,1151.5,1152.6,56444,654.29
17-09-2010,1150,1186.85,1150,1158.85,1164.8,98878,1157.29
20-09-2010,1165,1175,1150.7,1157.7,1161.35,34984,406.11
21-09-2010,1165.05,1175,1135,1144,1141.1,42152,483.36
22-09-2010,1143.9,1168.45,1130.2,1138.95,1137.85,39783,457.63
23-09-2010,1140.15,1152.3,1093,1113.1,1110.55,52154,579.73
24-09-2010,1105.05,1114.85,1084.15,1088,1090.8,88538,969
27-09-2010,1095.55,1123.95,1075,1113.5,1114.9,86140,960.76
28-09-2010,1120,1120,1106,1112.95,1112.95,46237,515.21
29-09-2010,1112.05,1124,1103,1103,1106.05,82736,923.71
30-09-2010,1091,1108,1075,1087.9,1079.15,51616,559.46
01-10-2010,1096,1137,1080,1111,1107.45,92946,1028.03
04-10-2010,1083.6,1154,1083.6,1142.05,1144.3,218752,2458.91
05-10-2010,1156,1211,1147.2,1206.3,1190.25,146062,1712.96
06-10-2010,1208,1222,1165.2,1183.4,1178.1,79564,953.22
07-10-2010,1190,1208,1133.15,1150.35,1152.4,97127,1139.71
08-10-2010,1166.05,1170,1136.3,1148,1144.65,21969,252.43
11-10-2010,1155,1169,1146.4,1159,1157.9,21652,250.15
12-10-2010,1168.9,1168.9,1123.1,1139.95,1144.8,32687,373.49
13-10-2010,1145.15,1177,1132.9,1140.95,1141.65,46946,539.67
